Rk,Gcar,Gtm,Date,Team,Location,Opp,Result,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,426,55,2015-02-21,HOU,Home,TOR,Win,98-76,*,29:18,5,12,.417,2,6,.333,3,6,.500,.500,8,10,.800,0,5,5,7,2,0,5,2,20,15.4,9
56,427,56,2015-02-23,HOU,Home,MIN,Win,113-102,*,38:39,7,20,.350,5,11,.455,2,9,.222,.475,12,15,.800,1,10,11,10,1,4,3,3,31,28.9,13
57,428,57,2015-02-25,HOU,Home,LAC,Win,110-105,*,36:29,4,13,.308,3,9,.333,1,4,.250,.423,10,12,.833,0,4,4,10,0,0,3,1,21,17.5,-6
58,429,58,2015-02-27,HOU,Home,BRK,Win,102-98,*,38:20,4,15,.267,0,4,.000,4,11,.364,.267,7,7,1.000,0,5,5,12,1,0,4,3,15,11.8,3
59,430,59,2015-03-01,HOU,Home,CLE,Win,105-103 (OT),*,42:21,8,18,.444,2,6,.333,6,12,.500,.500,15,18,.833,2,6,8,5,3,2,5,3,33,27.3,14
59,Home,60,2015-03-03,HOU,Away,ATL,Loss,96-104,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
60,431,61,2015-03-04,HOU,Home,MEM,Loss,100-102,*,41:24,7,16,.438,2,7,.286,5,9,.556,.500,2,2,1.000,1,3,4,13,1,2,3,1,18,19.3,10
61,432,62,2015-03-06,HOU,Home,DET,Win,103-93,*,37:46,10,21,.476,2,6,.333,8,15,.533,.524,16,18,.889,1,11,12,12,1,0,7,1,38,32.5,28
62,433,63,2015-03-07,HOU,Away,DEN,Win,114-100,*,36:29,8,19,.421,2,4,.500,6,15,.400,.474,10,11,.909,1,3,4,7,2,0,4,5,28,20.0,5
63,434,64,2015-03-11,HOU,Away,POR,Loss,100-105,*,38:08,7,19,.368,0,3,.000,7,16,.438,.368,4,5,.800,1,1,2,6,3,0,4,3,18,10.1,2
64,435,65,2015-03-12,HOU,Away,UTA,Loss,91-109,*,34:00,3,13,.231,0,5,.000,3,8,.375,.231,9,13,.692,2,2,4,7,3,0,3,1,15,12.0,-16
